GO_term	taxon
GO:0002720	root
GO:0002735	Amniota
GO:0002753	Bilateria
GO:0002755	Eumetazoa
GO:0002756	Amniota
GO:0002758	Eukaryota
GO:0002763	Amniota
GO:0002764	Bilateria
GO:0002768	cellular organisms
GO:0002779	Amniota
GO:0002780	cellular organisms
GO:0002803	Bilateria
GO:0002821	Bilateria
GO:0002824	Amniota
GO:0002828	Amniota
GO:0002830	cellular organisms
GO:0002839	Amniota
GO:0002870	Amniota
GO:0002903	Euteleostomi
GO:0002925	Amniota
GO:0002926	root
GO:0002931	Euteleostomi
GO:0002934	Gnathostomata
GO:0002935	Bacteria
GO:0002937	cellular organisms
GO:0002938	cellular organisms
GO:0002939	root
GO:0002940	root
GO:0002943	root
GO:0002949	root
GO:0002951	Opisthokonta
GO:0002953	cellular organisms
GO:0003002	Eukaryota
GO:0003006	Eukaryota
GO:0003007	Bilateria
GO:0003008	Opisthokonta
GO:0003009	Bilateria
GO:0003012	Bilateria
GO:0003013	Eumetazoa
GO:0003014	Bilateria
GO:0003015	Bilateria
GO:0003050	Amniota
GO:0003051	Amniota
GO:0003056	Amniota
GO:0003073	Vertebrata
GO:0003081	Gnathostomata
GO:0003085	Bilateria
GO:0003091	Bilateria
GO:0003093	Vertebrata
GO:0003094	Euteleostomi
GO:0003096	Bilateria
GO:0003100	root
GO:0003128	Euteleostomi
GO:0003146	Vertebrata
GO:0003151	Bilateria
GO:0003167	Amniota
GO:0003180	Amniota
GO:0003181	Euteleostomi
GO:0003183	Euteleostomi
GO:0003184	Amniota
GO:0003207	Amniota
GO:0003214	Amniota
GO:0003220	Euteleostomi
GO:0003228	Euteleostomi
GO:0003232	Euteleostomi
GO:0003253	Amniota
GO:0003254	cellular organisms
GO:0003272	Euteleostomi
GO:0003274	Amniota
GO:0003275	Amniota
GO:0003281	Amniota
GO:0003283	Amniota
GO:0003300	Amniota
GO:0003309	Euteleostomi
GO:0003313	Euteleostomi
GO:0003315	Euteleostomi
GO:0003333	cellular organisms
GO:0003334	Euteleostomi
GO:0003337	Gnathostomata
GO:0003341	Eukaryota
GO:0003347	Euteleostomi
GO:0003351	Eukaryota
GO:0003352	Eukaryota
GO:0003357	Euteleostomi
GO:0003365	Eukaryota
GO:0003376	root
GO:0003382	root
GO:0003400	Eukaryota
GO:0003401	Bilateria
GO:0003406	Euteleostomi
GO:0003407	Vertebrata
GO:0003416	Amniota
GO:0003674	root
GO:0003676	root
GO:0003677	root
GO:0003678	root
GO:0003680	cellular organisms
GO:0003681	cellular organisms
GO:0003682	root
GO:0003684	cellular organisms
GO:0003688	root
GO:0003689	root
GO:0003690	root
GO:0003691	cellular organisms
GO:0003697	root
GO:0003700	root
GO:0003707	Eumetazoa
GO:0003711	Eukaryota
GO:0003712	cellular organisms
GO:0003713	root
GO:0003714	cellular organisms
GO:0003720	root
GO:0003723	root
GO:0003724	root
GO:0003725	cellular organisms
GO:0003726	root
GO:0003727	root
GO:0003729	cellular organisms
GO:0003730	cellular organisms
GO:0003735	cellular organisms
GO:0003743	cellular organisms
GO:0003746	cellular organisms
GO:0003747	cellular organisms
GO:0003755	root
GO:0003756	root
GO:0003774	root
GO:0003777	root
GO:0003779	root
GO:0003785	root
GO:0003786	Fungi
GO:0003796	root
GO:0003810	cellular organisms
GO:0003823	Bilateria
GO:0003824	root
GO:0003825	cellular organisms
GO:0003827	cellular organisms
GO:0003828	cellular organisms
GO:0003830	root
GO:0003834	root
GO:0003835	root
GO:0003836	Eukaryota
GO:0003837	root
GO:0003838	cellular organisms
GO:0003839	root
GO:0003841	cellular organisms
GO:0003842	cellular organisms
GO:0003843	Eukaryota
GO:0003844	cellular organisms
GO:0003846	cellular organisms
GO:0003847	root
GO:0003848	cellular organisms
GO:0003849	cellular organisms
GO:0003851	cellular organisms
GO:0003852	cellular organisms
GO:0003855	cellular organisms
GO:0003856	cellular organisms
GO:0003857	cellular organisms
GO:0003858	cellular organisms
GO:0003860	root
GO:0003861	cellular organisms
GO:0003862	cellular organisms
GO:0003863	cellular organisms
GO:0003864	cellular organisms
GO:0003865	cellular organisms
GO:0003866	cellular organisms
GO:0003868	root
GO:0003870	cellular organisms
GO:0003871	cellular organisms
GO:0003872	cellular organisms
GO:0003873	cellular organisms
GO:0003874	root
GO:0003875	Eumetazoa
GO:0003876	Eukaryota
GO:0003878	cellular organisms
GO:0003879	cellular organisms
GO:0003881	cellular organisms
GO:0003882	cellular organisms
GO:0003883	cellular organisms
GO:0003884	root
GO:0003885	cellular organisms
GO:0003886	root
GO:0003887	root
GO:0003899	root
GO:0003904	cellular organisms
GO:0003905	cellular organisms
GO:0003906	cellular organisms
GO:0003908	cellular organisms
GO:0003909	root
GO:0003910	root
GO:0003911	root
GO:0003912	Opisthokonta
GO:0003913	cellular organisms
GO:0003916	root
GO:0003917	cellular organisms
GO:0003918	root
GO:0003919	cellular organisms
GO:0003920	cellular organisms
GO:0003921	cellular organisms
GO:0003922	cellular organisms
GO:0003923	cellular organisms
GO:0003924	root
GO:0003925	Eukaryota
GO:0003933	cellular organisms
GO:0003934	cellular organisms
GO:0003935	cellular organisms
GO:0003937	root
GO:0003938	cellular organisms
GO:0003939	cellular organisms
GO:0003940	cellular organisms
GO:0003941	cellular organisms
GO:0003942	cellular organisms
GO:0003948	cellular organisms
GO:0003949	cellular organisms
GO:0003950	root
GO:0003951	cellular organisms
GO:0003952	cellular organisms
GO:0003953	cellular organisms
GO:0003954	cellular organisms
GO:0003955	cellular organisms
GO:0003957	Bacteria
GO:0003958	cellular organisms
GO:0003959	cellular organisms
GO:0003960	cellular organisms
GO:0003961	root
GO:0003962	cellular organisms
GO:0003963	cellular organisms
GO:0003964	root
GO:0003968	root
GO:0003972	root
GO:0003973	cellular organisms
GO:0003974	root
GO:0003975	cellular organisms
GO:0003976	Opisthokonta
GO:0003977	cellular organisms
GO:0003978	root
GO:0003979	cellular organisms
GO:0003980	cellular organisms
GO:0003983	cellular organisms
GO:0003984	cellular organisms
GO:0003985	cellular organisms
GO:0003986	cellular organisms
GO:0003987	root
GO:0003988	root
GO:0003989	cellular organisms
GO:0003990	cellular organisms
GO:0003991	cellular organisms
GO:0003992	cellular organisms
GO:0003993	root
GO:0003994	cellular organisms
GO:0003995	cellular organisms
GO:0003997	cellular organisms
GO:0003998	cellular organisms
GO:0003999	cellular organisms
